video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
10,15,0.50,1,0.5,FACE?,2026-06-03 11:38:31
10,134,4.47,1,4.4,CROWD+FACE?,2026-06-03 11:38:55
10,134,4.47,2,0.0,CROWD,2026-06-03 11:38:55
10,148,4.93,2,0.5,CROWD+FACE?,2026-06-03 11:38:58
10,162,5.40,9,0.1,CROWD,2026-06-03 11:39:01
10,429,14.30,24,3.0,CROWD,2026-06-03 11:39:54
10,431,14.37,25,3.0,CROWD,2026-06-03 11:39:54
10,443,14.77,24,3.4,CROWD+FACE?,2026-06-03 11:39:57
10,445,14.83,25,3.4,CROWD+FACE?,2026-06-03 11:39:57
10,516,17.20,39,3.4,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:40:12
10,1365,45.50,268,14.9,CROWD,2026-06-03 11:43:04
10,1379,45.97,268,15.4,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:43:07
10,1445,48.17,277,16.7,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:43:21
10,1445,48.17,293,13.1,CROWD,2026-06-03 11:43:21
10,1450,48.33,277,16.9,CROWD+FACE?,2026-06-03 11:43:22
10,1456,48.53,295,24.6,CROWD,2026-06-03 11:43:24
10,1465,48.83,295,24.9,CROWD+FACE?,2026-06-03 11:43:26
10,1580,52.67,312,13.1,CROWD,2026-06-03 11:43:51
